Comment,Designator,Footprint,LCSC
100nF,"C1,C2",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
I2C,J4,PinHeader_1x04_P2.54mm_Vertical,
DRA818V,U1,DORJI_DRA818V,
ESP Program,SW2,SW_PUSH_6mm_H5mm,
RESET,SW1,SW_PUSH_6mm_H5mm,
4.7K,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
4.7K,R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
270R,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10K,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
4.7k,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
BSS138,Q4,SOT-23,
BSS138,Q3,SOT-23,
BSS138,Q2,SOT-23,
BSS138,Q1,SOT-23,
M20-6102045,J5,RHDR40W66P254_2X20_5146X500X1105P,
PSU_CONN,J3,TerminalBlock_Altech_AK300-4_P5.00mm,
EXT_1WIRE,J2,PinHeader_1x03_P2.54mm_Vertical,
GPS_CONNECTOR,J1,PinHeader_1x04_P2.54mm_Vertical,
LFCN-160,FL1,Filter_Mini-Circuits_FV1206,
4.7uF,C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
100nF,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
22uF,C5,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,
0.1uF,C4,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,
1uF,C3,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,
RED_RADIO_OK,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
RF_OUT,J7,SMA_Amphenol_132291_Vertical,
1.1K,R14,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
RED_TX_PROGRESS,D2,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
GREN_USER_DEFINED,D3,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,
1.1K,R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
ESP PROGRAM,J8,PinHeader_1x03_P2.54mm_Vertical,
RF_HI_LOW,J6,PinHeader_1x03_P2.54mm_Vertical,
MH,H4,MountingHole_4.3mm_M4_Pad_Via,
MH,H3,MountingHole_4.3mm_M4_Pad_Via,
1.1K,R16,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
MH,H2,MountingHole_4.3mm_M4_Pad_Via,
MH,H1,MountingHole_4.3mm_M4_Pad_Via,
ESP32-WROOM-32D,U2,ESP32-WROOM-32,
