Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,89.0175,-52.145,0.0,top
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,89.1175,-55.485,0.0,top
C3,1uF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,86.679587,-114.193213,90.0,top
C4,0.1uF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,65.315,-115.4425,-90.0,top
C5,22uF,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,69.725,-115.87,-90.0,top
C6,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,78.975,-97.815,180.0,top
C7,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,78.68055,-107.175205,180.0,top
D1,RED_RADIO_OK,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,37.0525,-80.975,180.0,top
D2,RED_TX_PROGRESS,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,47.8925,-94.375,180.0,top
D3,GREN_USER_DEFINED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,62.3625,-97.685,180.0,top
ESP32-WROOM-32D1,ESP32-WROOM-32D,ESP32-WROOM-32,50.650275,-110.586072,180.0,top
FL1,LFCN-160,Filter_Mini-Circuits_FV1206,110.051659,-62.866266,0.0,top
J1,GPS_CONNECTOR,PinHeader_1x04_P2.54mm_Vertical,25.885,-70.455,0.0,top
J2,EXT_1WIRE,PinHeader_1x03_P2.54mm_Vertical,25.885,-59.025,0.0,top
J3,PSU_CONN,TerminalBlock_Altech_AK300-4_P5.00mm,113.345,-38.545,-90.0,top
J4,I2C,PinHeader_1x04_P2.54mm_Vertical,25.59286,-39.985,0.0,top
J5,M20-6102045,RHDR40W66P254_2X20_5146X500X1105P,95.0,-30.0,180.0,top
J6,RF_HI_LOW,PinHeader_1x03_P2.54mm_Vertical,77.940218,-58.596018,0.0,top
J7,RF_OUT,SMA_Amphenol_132291_Vertical,112.18637,-70.945645,0.0,top
J8,ESP PROGRAM,PinHeader_1x03_P2.54mm_Vertical,25.798507,-85.003164,0.0,top
Q1,BSS138,SOT-23,44.2325,-41.895,0.0,top
Q2,BSS138,SOT-23,43.054,-63.4516,0.0,top
Q3,BSS138,SOT-23,63.255,-76.035,0.0,top
Q4,BSS138,SOT-23,42.89,-52.305,0.0,top
R1,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,25.59286,-53.006828,0.0,top
R2,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,43.7425,-45.875,180.0,top
R3,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,42.445,-69.065,180.0,top
R4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,63.255,-80.4038,180.0,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.165,-68.985,0.0,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.155,-78.035,0.0,top
R7,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,77.015,-85.625,0.0,top
R8,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,92.179187,-115.079917,-90.0,top
R9,270R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.715,-102.015,180.0,top
R10,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,43.69,-58.165,0.0,top
R11,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.095,-73.825,0.0,top
R12,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,25.997896,-33.722987,-90.0,top
R13,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,30.608653,-33.783974,-90.0,top
R14,1.1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,34.965,-74.795,180.0,top
R15,1.1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,48.305,-92.145,180.0,top
R16,1.1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,62.235,-94.215,180.0,top
SW1,RESET,SW_PUSH_6mm_H5mm,74.799009,-111.952171,0.0,top
SW2,ESP Program,SW_PUSH_6mm_H5mm,23.565,-104.215,90.0,top
U1,DRA818V,DORJI_DRA818V,94.465,-76.805,90.0,top
